ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç êVãªçëäîéÆÉCÉìÉfÉbÉNÉX
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2018/04/06,10620,10620,,51.21
2018/04/09,10551,10551,,50.88
2018/04/10,10536,10536,,51.13
2018/04/11,10700,10700,,52.46
2018/04/12,10687,10687,,52.77
2018/04/13,10731,10731,,53.24
2018/04/16,10682,10682,,53.37
2018/04/17,10601,10601,,53.12
2018/04/18,10610,10610,,53.91
2018/04/19,10748,10748,,54.97
2018/04/20,10798,10798,,55.48
2018/04/23,10703,10703,,55.36
2018/04/24,10682,10682,,55.44
2018/04/25,10685,10685,0,56.08
2018/04/26,10617,10617,,55.90
2018/04/27,10654,10654,,56.48
2018/05/01,10818,10818,,57.64
2018/05/02,10835,10835,,57.96
2018/05/07,10533,10533,,56.34
2018/05/08,10544,10544,,56.92
2018/05/09,10614,10614,,57.30
2018/05/10,10694,10694,,58.56
2018/05/11,10791,10791,,59.48
2018/05/14,10820,10820,,60.12
2018/05/15,10893,10893,,60.84
2018/05/16,10777,10777,,60.98
2018/05/17,10841,10841,,61.70
2018/05/18,10786,10786,,61.69
2018/05/21,10738,10738,,61.68
2018/05/22,10747,10747,,62.16
2018/05/23,10779,10779,,63.11
2018/05/24,10597,10597,,62.04
2018/05/25,10586,10586,,62.48
2018/05/28,10605,10605,,62.85
2018/05/29,10560,10560,,62.88
2018/05/30,10371,10371,,61.76
2018/05/31,10306,10306,,61.87
2018/06/01,10394,10394,,62.62
2018/06/04,10557,10557,,63.86
2018/06/05,10735,10735,,65.42
2018/06/06,10699,10699,,65.46
2018/06/07,10792,10792,,66.14
2018/06/08,10743,10743,,65.98
2018/06/11,10612,10612,,65.39
2018/06/12,10703,10703,,66.13
2018/06/13,10722,10722,,66.72
2018/06/14,10660,10660,,66.68
2018/06/15,10583,10583,,66.38
2018/06/18,10496,10496,,65.93
2018/06/19,10373,10373,,65.57
2018/06/20,10177,10177,,64.33
2018/06/21,10290,10290,,65.57
2018/06/22,10141,10141,,65.05
2018/06/25,10160,10160,,65.53
2018/06/26,10027,10027,,64.99
2018/06/27,10008,10008,,65.58
2018/06/28,9864,9864,,64.94
2018/06/29,9890,9890,,65.50
2018/07/02,10120,10120,,67.20
2018/07/03,10045,10045,,67.18
2018/07/04,9982,9982,,66.76
2018/07/05,9966,9966,,67.96
