Ç¬Ç›ÇΩÇƒÇWéëéYãœìôÉoÉâÉìÉX
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2018/04/24,10385,10385,,9.16
2018/04/25,10387,10387,,9.25
2018/04/26,10391,10391,,9.26
2018/04/27,10422,10422,,9.29
2018/05/01,10461,10461,,9.84
2018/05/02,10470,10470,,9.94
2018/05/07,10397,10397,,9.87
2018/05/08,10415,10415,,11.69
2018/05/09,10393,10393,,11.66
2018/05/10,10462,10462,,11.87
2018/05/11,10509,10509,,11.94
2018/05/14,10515,10515,,12.10
2018/05/15,10515,10515,,12.12
2018/05/16,10462,10462,,12.07
2018/05/17,10491,10491,,12.18
2018/05/18,10505,10505,,12.26
2018/05/21,10491,10491,,12.80
2018/05/22,10515,10515,,12.85
2018/05/23,10508,10508,,13.15
2018/05/24,10419,10419,,13.04
2018/05/25,10409,10409,,13.05
2018/05/28,10405,10405,,13.06
2018/05/29,10376,10376,,13.45
2018/05/30,10266,10266,,13.30
2018/05/31,10320,10320,,13.68
2018/06/01,10329,10329,,13.71
2018/06/04,10423,10423,,14.17
2018/06/05,10486,10486,,15.82
2018/06/06,10466,10466,,15.83
2018/06/07,10520,10520,,15.96
2018/06/08,10481,10481,,15.99
2018/06/11,10453,10453,,15.95
2018/06/12,10507,10507,,16.05
2018/06/13,10519,10519,,16.07
2018/06/14,10479,10479,,16.26
2018/06/15,10469,10469,,16.29
2018/06/18,10444,10444,,16.26
2018/06/19,10381,10381,,16.25
2018/06/20,10340,10340,,16.18
2018/06/21,10397,10397,,16.94
2018/06/22,10358,10358,,17.12
2018/06/25,10352,10352,0,17.20
2018/06/26,10340,10340,,17.20
2018/06/27,10341,10341,,17.73
2018/06/28,10292,10292,,17.85
2018/06/29,10336,10336,,18.03
2018/07/02,10377,10377,,18.16
2018/07/03,10354,10354,,18.18
2018/07/04,10342,10342,,18.16
2018/07/05,10333,10333,,20.25
2018/07/06,10392,10392,,20.37
2018/07/09,10442,10442,,20.52
2018/07/10,10496,10496,,20.73
2018/07/11,10483,10483,,20.75
2018/07/12,10510,10510,,21.02
2018/07/13,10592,10592,,21.23
2018/07/17,10593,10593,,21.24
2018/07/18,10619,10619,,21.31
2018/07/19,10601,10601,,21.97
2018/07/20,10578,10578,,21.93
2018/07/23,10479,10479,,21.75
2018/07/24,10479,10479,,22.02
2018/07/25,10514,10514,,22.21
2018/07/26,10530,10530,,22.25
2018/07/27,10544,10544,,22.86
2018/07/30,10522,10522,,23.03
2018/07/31,10528,10528,,23.13
2018/08/01,10590,10590,,23.40
2018/08/02,10570,10570,,23.80
2018/08/03,10524,10524,,25.46
2018/08/06,10512,10512,,25.42
2018/08/07,10518,10518,,25.46
2018/08/08,10542,10542,,25.52
2018/08/09,10492,10492,,25.54
2018/08/10,10456,10456,,25.46
2018/08/13,10310,10310,,25.14
2018/08/14,10307,10307,,25.38
2018/08/15,10354,10354,,25.56
2018/08/16,10270,10270,,25.35
2018/08/17,10305,10305,,25.53
2018/08/20,10319,10319,,25.65
2018/08/21,10306,10306,,26.24
2018/08/22,10349,10349,,26.72
2018/08/23,10385,10385,,26.91
2018/08/24,10416,10416,,27.00
2018/08/27,10445,10445,,27.08
2018/08/28,10493,10493,,27.23
2018/08/29,10507,10507,,27.27
2018/08/30,10546,10546,,28.38
2018/08/31,10449,10449,,28.15
2018/09/03,10418,10418,,28.11
2018/09/04,10404,10404,,28.57
2018/09/05,10378,10378,,28.50
2018/09/06,10339,10339,,30.26
2018/09/07,10283,10283,,30.15
2018/09/10,10287,10287,,30.29
2018/09/11,10325,10325,,30.41
2018/09/12,10328,10328,,30.71
2018/09/13,10348,10348,,30.83
2018/09/14,10444,10444,,31.13
2018/09/18,10442,10442,,31.13
2018/09/19,10498,10498,,31.31
2018/09/20,10517,10517,,32.16
2018/09/21,10584,10584,,32.37
2018/09/25,10600,10600,,32.76
2018/09/26,10620,10620,,32.92
2018/09/27,10608,10608,,32.88
2018/09/28,10663,10663,,34.01
2018/10/01,10684,10684,,34.17
2018/10/02,10684,10684,,34.31
2018/10/03,10610,10610,,34.08
2018/10/04,10617,10617,,36.57
2018/10/05,10526,10526,,36.29
2018/10/09,10425,10425,,35.94
2018/10/10,10450,10450,,36.06
2018/10/11,10289,10289,,35.69
2018/10/12,10195,10195,,35.64
2018/10/15,10193,10193,,35.68
2018/10/16,10212,10212,,35.76
2018/10/17,10338,10338,,36.30
2018/10/18,10340,10340,,36.42
2018/10/19,10255,10255,,36.12
2018/10/22,10279,10279,,36.89
2018/10/23,10248,10248,,36.81
2018/10/24,10198,10198,,37.10
2018/10/25,10081,10081,,36.67
2018/10/26,10129,10129,,36.87
2018/10/29,10065,10065,,37.36
2018/10/30,10099,10099,,37.73
2018/10/31,10186,10186,,38.28
2018/11/01,10177,10177,,38.27
2018/11/02,10266,10266,,39.19
2018/11/05,10296,10296,,41.25
2018/11/06,10334,10334,,41.55
2018/11/07,10357,10357,,41.71
2018/11/08,10457,10457,,42.26
2018/11/09,10437,10437,,42.19
2018/11/12,10405,10405,,42.05
2018/11/13,10307,10307,,41.69
2018/11/14,10341,10341,,41.84
2018/11/15,10328,10328,,42.14
2018/11/16,10335,10335,,42.17
2018/11/19,10335,10335,,42.27
2018/11/20,10308,10308,,42.28
2018/11/21,10245,10245,,42.69
2018/11/22,10295,10295,,43.25
2018/11/26,10284,10284,,43.34
2018/11/27,10348,10348,,43.61
2018/11/28,10386,10386,,44.84
2018/11/29,10438,10438,,45.19
2018/11/30,10457,10457,,45.35
2018/12/03,10488,10488,,45.53
2018/12/04,10513,10513,,46.26
2018/12/05,10405,10405,,47.79
2018/12/06,10366,10366,,47.61
2018/12/07,10358,10358,,47.57
2018/12/10,10276,10276,,47.41
2018/12/11,10242,10242,,47.26
2018/12/12,10301,10301,,47.89
2018/12/13,10334,10334,,48.11
2018/12/14,10347,10347,,48.20
2018/12/17,10293,10293,,47.94
2018/12/18,10167,10167,,47.36
2018/12/19,10145,10145,,48.13
2018/12/20,10088,10088,,47.87
2018/12/21,9955,9955,,47.28
2018/12/25,9703,9703,,46.47
2018/12/26,9765,9765,,46.94
2018/12/27,9921,9921,,47.69
2018/12/28,9935,9935,,47.76
2019/01/04,9710,9710,,48.00
2019/01/07,9893,9893,,49.06
2019/01/08,9951,9951,,52.20
2019/01/09,9996,9996,,52.65
2019/01/10,10011,10011,,52.76
2019/01/11,10064,10064,,53.09
2019/01/15,10045,10045,,53.32
2019/01/16,10084,10084,,53.61
2019/01/17,10148,10148,,54.09
2019/01/18,10196,10196,,54.47
2019/01/21,10246,10246,,55.42
2019/01/22,10234,10234,,55.37
2019/01/23,10176,10176,,55.06
2019/01/24,10211,10211,,55.80
2019/01/25,10260,10260,,56.07
2019/01/28,10296,10296,,56.29
2019/01/29,10293,10293,,57.13
2019/01/30,10311,10311,,57.24
2019/01/31,10364,10364,,58.11
2019/02/01,10405,10405,,58.37
2019/02/04,10445,10445,,59.25
2019/02/05,10481,10481,,61.55
2019/02/06,10489,10489,,61.63
2019/02/07,10452,10452,,61.42
2019/02/08,10405,10405,,61.14
2019/02/12,10456,10456,,61.44
2019/02/13,10496,10496,,61.91
2019/02/14,10510,10510,,62.49
2019/02/15,10469,10469,,62.23
2019/02/18,10507,10507,,62.40
2019/02/19,10529,10529,,62.65
2019/02/20,10565,10565,,62.87
2019/02/21,10571,10571,,63.72
2019/02/22,10571,10571,,64.13
2019/02/25,10622,10622,,64.57
2019/02/26,10645,10645,,64.72
2019/02/27,10626,10626,,65.50
2019/02/28,10612,10612,,65.74
2019/03/01,10629,10629,,65.98
2019/03/04,10670,10670,,67.04
2019/03/05,10661,10661,,69.19
2019/03/06,10647,10647,,69.15
2019/03/07,10619,10619,,69.04
2019/03/08,10539,10539,,68.69
2019/03/11,10507,10507,,68.47
2019/03/12,10615,10615,,69.18
2019/03/13,10621,10621,,69.71
2019/03/14,10649,10649,,70.02
2019/03/15,10698,10698,,70.32
2019/03/18,10716,10716,,70.43
2019/03/19,10729,10729,,70.64
2019/03/20,10752,10752,,71.56
2019/03/22,10745,10745,,71.58
2019/03/25,10599,10599,,71.04
2019/03/26,10651,10651,,71.55
2019/03/27,10719,10719,,72.97
2019/03/28,10653,10653,,72.89
2019/03/29,10700,10700,,73.35
2019/04/01,10729,10729,,73.67
2019/04/02,10786,10786,,74.12
2019/04/03,10809,10809,,77.21
2019/04/04,10824,10824,,77.39
2019/04/05,10840,10840,,77.51
2019/04/08,10831,10831,,77.33
2019/04/09,10829,10829,,77.31
2019/04/10,10796,10796,,77.30
2019/04/11,10827,10827,,77.56
2019/04/12,10847,10847,,78.09
2019/04/15,10894,10894,,78.51
