ì˙ït,äÓèÄâøäz,èÉéëéYëçäz
20250514,26534.00,60733
20250515,26373.00,60352
20250516,26271.00,60162
20250519,26432.00,60798
20250520,26528.00,61099
20250521,26236.00,60522
20250522,25650.00,59689
20250523,25737.00,59929
20250526,25357.00,59071
20250527,25292.00,58935
20250528,26116.00,60854
20250529,26328.00,61467
20250530,26040.00,60803
20250602,25997.00,60718
20250603,25961.00,60648
20250604,26324.00,62129
20250605,26096.00,61641
20250606,26147.00,61788
20250609,26627.00,63041
20250610,26618.00,63052
20250611,26807.00,63571
20250612,26583.00,63263
20250613,26491.00,63208
20250616,26441.00,63168
20250617,26814.00,64076
20250618,26642.00,63918
20250619,26554.00,63735
20250620,26633.00,63959
20250623,26785.00,64324
20250624,26899.00,65169
20250625,27075.00,65541
20250626,27027.00,65451
20250627,27201.00,65894
20250630,27388.00,66414
20250701,27319.00,66232
20250702,27290.00,66129
20250703,27408.00,66941
20250704,27831.00,67946
20250707,27788.00,67869
20250708,27890.00,68119
20250709,28023.00,68495
20250710,28001.00,68473
20250711,28229.00,69024
20250714,28204.00,69104
20250715,28372.00,69713
20250716,28522.00,70093
20250717,28509.00,70318
20250718,28696.00,70691
20250722,28500.00,70190
20250723,28328.00,69781
20250724,28552.00,70863
20250725,28752.00,71224
20250728,28934.00,71686
20250729,29090.00,72051
20250730,28948.00,71734
20250731,29134.00,72227
20250801,29300.00,72553
20250804,28231.00,69910
20250805,28519.00,71197
20250806,28506.00,71194
20250807,28722.00,71878
20250808,28620.00,71676
20250812,29008.00,72680
20250813,29215.00,73261
20250814,29083.00,73370
20250815,29284.00,73856
20250818,29173.00,73487
20250819,29250.00,73970
20250820,29048.00,73581
20250821,28933.00,73326
20250822,29021.00,74107
20250825,29248.00,74675
20250826,29067.00,74237
20250827,29265.00,74788
20250828,29309.00,74960
20250829,29302.00,74969
20250901,29188.00,74677
20250902,29199.00,74683
20250903,29288.00,74909
20250904,29285.00,75578
20250905,29577.00,76351
20250908,29531.00,76200
20250909,29375.00,75913
20250910,29484.00,76279
20250911,29581.00,76539
20250912,29779.00,77300
20250916,29959.00,77913
20250917,29722.00,77360
20250918,29780.00,77777
20250919,30140.00,78758
20250922,30336.00,79357
20250924,30214.00,79026
20250925,30315.00,79882
20250926,30370.00,80076
20250929,30431.00,80255
20250930,30443.00,80356
20251001,30425.00,80472
20251002,30328.00,80292
20251003,30390.00,81091
20251006,30885.00,82462
20251007,31142.00,83184
20251008,31402.00,84021
20251009,31673.00,84778
20251010,31659.00,84740
20251014,31161.00,83398
20251015,30946.00,83119
20251016,30880.00,83115
20251017,30574.00,82601
20251020,30902.00,83579
20251021,31141.00,84274
20251022,31379.00,85568
20251023,31325.00,85426
20251024,31596.00,86217
20251027,31910.00,87107
20251028,32211.00,87964
20251029,32080.00,87717
20251030,32332.00,88393
20251031,32284.00,88225
20251104,32485.00,88815
20251105,31920.00,87306
20251106,32151.00,88655
20251107,31627.00,87318
20251110,31812.00,87919
20251111,32394.00,89536
20251112,32444.00,89960
20251113,32623.00,90456
20251114,32024.00,89041
20251117,32005.00,89040
20251118,31846.00,88656
20251119,31627.00,88424
20251120,32102.00,89841
20251121,31647.00,88660
20251125,32324.00,91187
20251126,32517.00,91772
20251127,32643.00,92192
20251128,32793.00,92703
20251201,32809.00,92749
20251202,32602.00,92220
20251203,32712.00,93202
20251204,32697.00,93199
20251205,32696.00,93192
20251208,32789.00,93509
20251209,32844.00,94083
20251210,32993.00,94955
20251211,33003.00,95290
20251212,33037.00,95766
20251215,32752.00,95098
20251216,32517.00,94480
20251217,32350.00,94375
20251218,32166.00,93926
20251219,32470.00,94868
20251222,33127.00,97044
20251223,33158.00,97216
20251224,33196.00,98005
20251225,33239.00,98041
20251226,33364.00,98398
20251229,33348.00,98350
20251230,33251.00,98243
20260105,33185.00,98130
20260106,33272.00,98456
20260107,33470.00,100273
20260108,33395.00,100140
20260109,33459.00,100727
20260113,33975.00,102396
20260114,34120.00,102967
20260115,33793.00,102559
20260116,33922.00,103058
20260119,33641.00,102562
20260120,33777.00,103112
20260121,33094.00,101028
20260122,33482.00,103041
20260123,33740.00,103958
20260126,32952.00,101647
20260127,33005.00,101883
20260128,32740.00,101327
20260129,32884.00,101874
20260130,32952.00,102144
20260202,33158.00,102847
20260203,33405.00,103623
20260204,33224.00,103819
20260205,33221.00,103866
20260206,32808.00,102594
20260209,33484.00,104884
20260210,33474.00,104945
20260212,32759.00,102812
20260213,32168.00,101212
20260216,32217.00,101580
20260217,32270.00,101879
20260218,32285.00,101928
20260219,32794.00,104058
20260220,32781.00,104016
20260224,32606.00,103511
20260225,33062.00,105566
20260226,33402.00,106662
20260227,33148.00,105856
20260302,33161.00,105923
20260303,33380.00,106651
20260304,33106.00,106444
20260305,33132.00,106532
20260306,33125.00,106384
20260309,32950.00,105949
20260310,33022.00,106250
20260311,33058.00,106409
20260312,33210.00,107176
