äÓèÄì˙,äÓèÄâøäz(â~),ï™îzã‡çƒìäéëäÓèÄâøäz(â~),èÉéëéYëçäz(â≠â~),ï™îzã‡(â~)
2022/2/25,9973,9973,12.93,
2022/2/28,10092,10092,13.1,
2022/3/1,10086,10086,13.18,
2022/3/2,10031,10031,13.22,
2022/3/3,10102,10102,13.55,
2022/3/4,10062,10062,13.53,
2022/3/7,10009,10009,13.53,
2022/3/8,9856,9856,13.33,
2022/3/9,9802,9802,13.3,
2022/3/10,9949,9949,15.66,
2022/3/11,9903,9903,15.61,
2022/3/14,9878,9878,15.61,
2022/3/15,9829,9829,15.54,
2022/3/16,9933,9933,15.71,
2022/3/17,10104,10104,16.03,
2022/3/18,10158,10158,16.13,
2022/3/22,10241,10241,16.26,
2022/3/23,10329,10329,16.42,
2022/3/24,10280,10280,16.4,
2022/3/25,10360,10360,16.52,
2022/3/28,10371,10371,16.54,
2022/3/29,10472,10472,16.79,
2022/3/30,10505,10505,16.99,
2022/3/31,10476,10476,16.95,
2022/4/1,10402,10402,16.82,
2022/4/4,10429,10429,16.82,
2022/4/5,10484,10484,17.15,
2022/4/6,10426,10426,17.11,
2022/4/7,10350,10350,17.09,
2022/4/8,10358,10358,17.11,
2022/4/11,10366,10366,17.15,
2022/4/12,10282,10282,19.39,
2022/4/13,10276,10276,19.53,
2022/4/14,10337,10337,19.64,
2022/4/15,10281,10281,19.54,
2022/4/18,10289,10289,19.58,
2022/4/19,10299,10299,19.6,
2022/4/20,10407,10407,19.8,0
2022/4/21,10398,10398,19.92,
2022/4/22,10316,10316,19.81,
2022/4/25,10173,10173,19.54,
2022/4/26,10170,10170,19.57,
2022/4/27,10052,10052,19.46,
2022/4/28,10091,10091,19.53,
2022/5/2,10044,10044,19.5,
2022/5/6,10016,10016,19.51,
2022/5/9,9949,9949,19.38,
2022/5/10,9760,9760,19.38,
2022/5/11,9791,9791,22.2,
2022/5/12,9720,9720,22.12,
2022/5/13,9716,9716,22.12,
2022/5/16,9839,9839,22.42,
2022/5/17,9818,9818,22.38,
2022/5/18,9898,9898,22.66,
2022/5/19,9700,9700,22.21,
2022/5/20,9669,9669,22.14,
2022/5/23,9683,9683,22.18,
2022/5/24,9755,9755,22.39,
2022/5/25,9713,9713,22.35,
2022/5/26,9776,9776,22.5,
2022/5/27,9851,9851,22.76,
2022/5/30,9981,9981,23.1,
2022/5/31,10011,10011,23.21,
2022/6/1,9988,9988,23.15,
2022/6/2,9961,9961,23.23,
2022/6/3,10043,10043,23.69,
2022/6/6,9981,9981,23.54,
2022/6/7,10018,10018,23.63,
2022/6/8,10093,10093,23.89,
2022/6/9,10067,10067,23.89,
2022/6/10,9922,9922,26.43,
2022/6/13,9767,9767,26.02,
2022/6/14,9490,9490,25.32,
2022/6/15,9468,9468,25.29,
2022/6/16,9562,9562,25.55,
2022/6/17,9377,9377,25.11,
2022/6/20,9438,9438,25.29,
2022/6/21,9438,9438,25.3,
2022/6/22,9559,9559,25.62,
2022/6/23,9569,9569,25.71,
2022/6/24,9620,9620,25.87,
2022/6/27,9750,9750,26.24,
2022/6/28,9745,9745,26.24,
2022/6/29,9664,9664,26.2,
2022/6/30,9692,9692,26.36,
2022/7/1,9646,9646,26.24,
2022/7/4,9700,9700,26.39,
2022/7/5,9720,9720,26.74,
2022/7/6,9715,9715,26.72,
2022/7/7,9732,9732,26.83,
2022/7/8,9797,9797,27.03,
2022/7/11,9796,9796,27.04,
2022/7/12,9767,9767,30.18,
2022/7/13,9737,9737,30.19,
2022/7/14,9739,9739,30.2,
2022/7/15,9723,9723,30.2,
2022/7/19,9772,9772,30.42,
2022/7/20,9894,9894,30.86,
2022/7/21,9930,9930,30.98,
2022/7/22,9971,9971,31.16,
2022/7/25,9946,9946,31.08,
2022/7/26,9947,9947,31.09,
2022/7/27,9915,9915,31.18,
2022/7/28,10018,10018,31.54,
2022/7/29,10068,10068,31.76,
2022/8/1,10096,10096,31.93,
2022/8/2,10033,10033,31.7,
2022/8/3,10049,10049,32.12,
2022/8/4,10117,10117,32.36,
2022/8/5,10112,10112,32.36,
2022/8/8,10130,10130,32.42,
2022/8/9,10131,10131,32.44,
2022/8/10,10114,10114,35.69,
2022/8/12,10157,10157,35.86,
2022/8/15,10237,10237,36.21,
2022/8/16,10281,10281,36.36,
2022/8/17,10306,10306,36.5,
2022/8/18,10260,10260,36.35,
2022/8/19,10312,10312,36.53,
2022/8/22,10231,10231,36.24,
2022/8/23,10106,10106,35.8,
2022/8/24,10073,10073,35.77,
2022/8/25,10080,10080,35.78,
2022/8/26,10168,10168,36.1,
2022/8/29,10029,10029,35.74,
2022/8/30,9984,9984,35.64,
2022/8/31,9921,9921,35.42,
2022/9/1,9889,9889,35.47,
2022/9/2,9883,9883,35.39,
2022/9/5,9861,9861,35.76,
2022/9/6,9853,9853,35.75,
2022/9/7,9887,9887,35.88,
2022/9/8,10018,10018,36.43,
2022/9/9,10017,10017,36.44,
2022/9/12,10073,10073,40.06,
2022/9/13,10133,10133,40.3,
2022/9/14,9943,9943,39.67,
2022/9/15,9926,9926,39.6,
2022/9/16,9852,9852,39.3,
2022/9/20,9834,9834,39.32,
2022/9/21,9758,9758,39.05,
2022/9/22,9708,9708,38.97,
2022/9/26,9508,9508,38.2,
2022/9/27,9425,9425,37.88,
2022/9/28,9380,9380,37.95,
2022/9/29,9498,9498,38.54,
2022/9/30,9390,9390,38.28,
2022/10/3,9344,9344,38.1,
2022/10/4,9496,9496,38.71,
2022/10/5,9635,9635,39.89,
2022/10/6,9609,9609,39.8,
2022/10/7,9542,9542,39.61,
2022/10/11,9359,9359,38.87,
2022/10/12,9327,9327,38.75,
2022/10/13,9319,9319,42.34,
2022/10/14,9439,9439,42.92,
2022/10/17,9346,9346,42.5,
2022/10/18,9493,9493,43.16,
2022/10/19,9560,9560,43.59,
2022/10/20,9505,9505,43.36,
2022/10/21,9465,9465,43.17,
2022/10/24,9532,9532,43.55,
2022/10/25,9581,9581,43.81,
2022/10/26,9692,9692,44.34,
2022/10/27,9634,9634,44.27,
2022/10/28,9648,9648,44.41,
2022/10/31,9781,9781,45.22,
2022/11/1,9753,9753,45.24,
2022/11/2,9721,9721,45.09,
2022/11/4,9553,9553,45.03,
2022/11/7,9603,9603,45.29,
2022/11/8,9625,9625,45.42,
2022/11/9,9649,9649,45.68,
2022/11/10,9582,9582,49.24,
2022/11/11,9793,9793,50.33,
2022/11/14,9769,9769,50.35,
2022/11/15,9747,9747,50.23,
2022/11/16,9793,9793,50.54,
2022/11/17,9769,9769,50.55,
2022/11/18,9765,9765,50.57,
2022/11/21,9789,9789,50.69,
2022/11/22,9819,9819,50.85,
2022/11/24,9866,9866,51.22,
2022/11/25,9872,9872,51.28,
2022/11/28,9863,9863,51.24,
2022/11/29,9781,9781,51.1,
2022/11/30,9780,9780,51.53,
2022/12/1,9885,9885,52.06,
2022/12/2,9875,9875,52.01,
2022/12/5,9853,9853,52.87,
2022/12/6,9803,9803,52.6,
2022/12/7,9776,9776,52.64,
2022/12/8,9760,9760,52.59,
2022/12/9,9799,9799,52.85,
2022/12/12,9744,9744,56.27,
2022/12/13,9825,9825,56.79,
2022/12/14,9826,9826,57.1,
2022/12/15,9803,9803,56.98,
2022/12/16,9725,9725,56.54,
2022/12/19,9606,9606,56.05,
2022/12/20,9500,9500,55.5,
2022/12/21,9410,9410,55.05,
2022/12/22,9496,9496,55.7,
2022/12/23,9439,9439,55.43,
2022/12/26,9441,9441,55.48,
2022/12/27,9465,9465,55.66,
2022/12/28,9474,9474,55.72,
2022/12/29,9387,9387,55.21,
2022/12/30,9440,9440,56.12,
2023/1/4,9377,9377,55.76,
2023/1/5,9476,9476,56.35,
2023/1/6,9456,9456,56.84,
2023/1/10,9553,9553,57.51,
2023/1/11,9586,9586,57.7,
2023/1/12,9662,9662,61.57,
2023/1/13,9631,9631,61.38,
2023/1/16,9599,9599,61.2,
2023/1/17,9618,9618,61.33,
2023/1/18,9693,9693,61.8,
2023/1/19,9579,9579,61.27,
2023/1/20,9547,9547,61.07,
2023/1/23,9628,9628,61.59,
2023/1/24,9713,9713,62.23,
2023/1/25,9721,9721,62.35,
2023/1/26,9692,9692,62.18,
2023/1/27,9744,9744,62.71,
2023/1/30,9766,9766,62.92,
2023/1/31,9699,9699,62.6,
2023/2/1,9752,9752,63.06,
2023/2/2,9773,9773,63.19,
2023/2/3,9873,9873,64.47,
2023/2/6,9891,9891,64.6,
2023/2/7,9846,9846,64.3,
2023/2/8,9840,9840,64.33,
2023/2/9,9813,9813,64.14,
2023/2/10,9774,9774,67.16,
2023/2/13,9758,9758,67.07,
2023/2/14,9836,9836,67.78,
2023/2/15,9828,9828,67.75,
2023/2/16,9872,9872,68.04,
2023/2/17,9806,9806,67.69,
2023/2/20,9796,9796,67.63,
2023/2/21,9793,9793,67.63,
2023/2/22,9685,9685,66.88,
2023/2/24,9698,9698,67.08,
2023/2/27,9673,9673,66.92,
2023/2/28,9694,9694,67.06,
2023/3/1,9672,9672,67.36,
2023/3/2,9638,9638,67.27,
2023/3/3,9681,9681,68.29,
2023/3/6,9754,9754,68.81,
2023/3/7,9760,9760,68.87,
2023/3/8,9712,9712,68.59,
2023/3/9,9723,9723,68.68,
2023/3/10,9607,9607,71.2,
2023/3/13,9526,9526,70.6,
2023/3/14,9514,9514,70.65,
2023/3/15,9596,9596,71.27,
2023/3/16,9549,9549,70.93,
2023/3/17,9610,9610,71.51,
2023/3/20,9551,9551,71.1,
2023/3/22,9630,9630,71.7,
2023/3/23,9527,9527,71.04,
2023/3/24,9546,9546,71.24,
2023/3/27,9577,9577,71.46,
2023/3/28,9562,9562,71.38,
2023/3/29,9569,9569,71.87,
2023/3/30,9670,9670,72.79,
2023/3/31,9731,9731,73.23,
2023/4/3,9804,9804,73.78,
2023/4/4,9821,9821,73.89,
2023/4/5,9768,9768,74.25,
2023/4/6,9747,9747,74.07,
2023/4/7,9784,9784,74.41,
2023/4/10,9806,9806,74.58,
2023/4/11,9821,9821,74.69,
2023/4/12,9828,9828,74.74,
2023/4/13,9794,9794,78.1,
2023/4/14,9828,9828,78.37,
2023/4/17,9833,9833,78.39,
2023/4/18,9861,9861,78.6,
2023/4/19,9858,9858,78.75,
2023/4/20,9868,9868,78.82,0
2023/4/21,9835,9835,78.56,
2023/4/24,9827,9827,78.62,
2023/4/25,9848,9848,78.83,
2023/4/26,9780,9780,78.31,
2023/4/27,9749,9749,78.28,
2023/4/28,9838,9838,79.07,
2023/5/1,9979,9979,80.37,
2023/5/2,9972,9972,80.5,
2023/5/8,9901,9901,79.93,
2023/5/9,9899,9899,80.63,
2023/5/10,9863,9863,80.33,
2023/5/11,9871,9871,83.91,
2023/5/12,9885,9885,84.21,
2023/5/15,9904,9904,84.4,
2023/5/16,9920,9920,84.55,
2023/5/17,9880,9880,84.34,
2023/5/18,9961,9961,85.03,
2023/5/19,9995,9995,85.36,
2023/5/22,9968,9968,85.13,
2023/5/23,9989,9989,85.29,
2023/5/24,9929,9929,84.87,
2023/5/25,9895,9895,84.59,
2023/5/26,9921,9921,84.79,
2023/5/29,10012,10012,85.84,
2023/5/30,10008,10008,85.89,
2023/5/31,10006,10006,85.86,
2023/6/1,9977,9977,85.96,
2023/6/2,10034,10034,86.42,
2023/6/5,10137,10137,88.18,
2023/6/6,10105,10105,87.91,
2023/6/7,10117,10117,88.11,
2023/6/8,10100,10100,87.9,
2023/6/9,10118,10118,87.96,
2023/6/12,10131,10131,91.81,
2023/6/13,10181,10181,92.24,
2023/6/14,10215,10215,92.78,
2023/6/15,10236,10236,92.97,
2023/6/16,10298,10298,93.44,
2023/6/19,10323,10323,93.82,
2023/6/20,10319,10319,93.73,
2023/6/21,10284,10284,93.41,
2023/6/22,10262,10262,93.27,
2023/6/23,10274,10274,93.4,
2023/6/26,10254,10254,93.23,
2023/6/27,10257,10257,93.24,
2023/6/28,10313,10313,94.17,
2023/6/29,10335,10335,94.56,
2023/6/30,10344,10344,94.85,
2023/7/3,10399,10399,95.32,
2023/7/4,10409,10409,95.42,
2023/7/5,10407,10407,96.38,
2023/7/6,10374,10374,96.06,
2023/7/7,10275,10275,95.25,
2023/7/10,10227,10227,94.81,
2023/7/11,10218,10218,94.72,
2023/7/12,10217,10217,98.79,
